rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
220	Peptic Esophagitis	C0014869	1	52	0.0001627862729773888	0.000306406685237	PTGS2
221	Leukoplakia	C0023531	1	52	0.0001627862729773888	0.000307799442897	PTGS2
222	Squamous intraepithelial lesion	C0333873	1	52	0.0001627862729773888	0.000309192200557	PTGS2
223	Oncocytic Neoplasm	C1378050	1	53	0.00016913726443912314	0.000310584958217	PTGS2
224	Endometrial Hyperplasia	C0014173	1	54	0.00017560856638765276	0.000311977715877	PTGS2
225	Discoid lupus erythematosus	C0024138	2	319	0.0001818829308974923	0.000313370473538	PTGS1,PTGS2
226	Acute Coronary Syndrome	C0948089	2	320	0.00018356972345789924	0.000314763231198	PTGS1,PTGS2
227	Endometriosis of uterus	C0341858	1	56	0.00018891155800093706	0.000316155988858	PTGS2
228	Aicardi Goutieres syndrome 1	C0796126	1	56	0.00018891155800093706	0.000317548746518	PTGS2
229	Malignant Fibrous Histiocytoma	C0334463	1	57	0.00019574315918213792	0.000318941504178	PTGS2
230	Dysmorphic features	C0432072	1	57	0.00019574315918213792	0.000320334261838	PTGS1
231	Inflammatory pain	C0234251	1	58	0.00020269464085753697	0.000321727019499	PTGS2
232	Oropharyngeal squamous cell carcinoma	C0280313	1	58	0.00020269464085753697	0.000323119777159	PTGS2
233	Lymphangiomyomatosis	C0751674	1	58	0.00020269464085753697	0.000324512534819	PTGS2
234	Head and Neck Neoplasms	C0018671	2	333	0.00020643441164758247	0.000325905292479	PTGS1,PTGS2
235	Pulmonary hypertension, neonatal, susceptibility to	C0020542	2	333	0.00020643441164758247	0.000327298050139	PTGS1,PTGS2
236	Oral Submucous Fibrosis	C0029172	1	59	0.00020976615844836566	0.000328690807799	PTGS2
237	Desmoid tumor	C0079218	1	59	0.00020976615844836566	0.00033008356546	PTGS2
238	Carcinoma, Lobular	C0206692	1	59	0.00020976615844836566	0.00033147632312	PTGS2
